dataset,classifier,metric,author,fold,value
garments-workers,svm,f1,isaque--cruz,v20,0.4434303925829349
wine,svm,f1,larissa-v2,v20,0.9701104613385314
tic_tac_toe,svm,f1,leandro-menoni,v20,0.44
wine-white,svm,f1,lucas-v2,v20,0.616005754741983
data.csv,svm,f1,luiz-miguel-silva,v20,0.6198541519642436
breast-cancer-wisconsin.csv,svm,f1,mateus--raskoski,v20,0.9497607586881456
iris,svm,f1,pablo-v2,v20,0.9665831244778612
bank,svm,f1,rafael-leonardo,v20,0.6184919349522018
Rice,svm,f1,rafael-scarpelli,v20,1.0
Mushroom,svm,f1,renato-augusto-v2,v20,0.968971631205674
car.csv,svm,f1,romulo-jordao,v20,0.9420756418566988
mushroom,svm,f1,thalles--barros,v20,0.9645104895104896
agaricus-lepiota,svm,f1,vitor--garcia,v20,1.0
Car Evaluation,svm,f1,vitor-oliveira,v20,0.7924528301886792
